PC    INSTRUCTION
25,    1225
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
47,    ee
49,    600a
4b,    f015
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
51,    3000
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
53,    ee
55,    7e01
45,    1245
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
47,    ee
49,    600a
4b,    f015
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
51,    3000
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
53,    ee
55,    7e01
45,    1245
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
47,    ee
49,    600a
4b,    f015
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
51,    3000
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
53,    ee
55,    7e01
45,    1245
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
47,    ee
49,    600a
4b,    f015
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
51,    3000
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
53,    ee
55,    7e01
45,    1245
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
47,    ee
49,    600a
4b,    f015
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
51,    3000
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
53,    ee
55,    7e01
45,    1245
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
47,    ee
49,    600a
4b,    f015
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
51,    3000
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
53,    ee
55,    7e01
45,    1245
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
47,    ee
49,    600a
4b,    f015
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
51,    3000
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
53,    ee
55,    7e01
45,    1245
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
47,    ee
49,    600a
4b,    f015
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
4f,    3000
4b,    124b
4d,    f007
51,    3000
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b5,    3a07
53,    ee
55,    7e01
45,    1245
187,    2387
189,    6a00
18b,    8de0
18d,    6b04
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
18d,    138d
191,    e9a1
193,    a602
195,    fd1e
197,    f065
199,    30ff
1a5,    13a5
1a7,    a500
1a9,    f01e
1ab,    dbc6
1ad,    7b08
1af,    7d01
1b1,    7a01
1b3,    3a07
